Attendance_ID,Employee_ID,Date,Check_in_Time,Check_out_Time,Total_Hours_Worked,Overtime_Hours,Leave_Status
ATT6026,EMP3401,2025-04-03,22:39:09,05:05:55,9.7,0.8,None
ATT82451,EMP6822,2024-08-23,03:53:57,18:55:54,6.2,0.6,Vacation
ATT79705,EMP3631,2023-04-27,04:50:50,16:57:20,9.7,1.8,Vacation
ATT85018,EMP5759,2024-04-20,07:17:56,16:30:35,4.4,1.9,Vacation
ATT62139,EMP3558,2023-11-08,00:44:08,10:33:22,5.9,1.6,None
ATT33712,EMP2933,2024-04-20,19:30:40,00:46:30,6.4,0.6,Vacation
ATT77405,EMP9191,2023-11-13,23:47:13,11:37:00,8.2,0.9,None
ATT43197,EMP8625,2025-10-22,04:51:24,16:46:26,4.7,1.0,Sick Leave
ATT98540,EMP5092,2024-04-03,05:11:28,16:39:41,4.4,1.7,Vacation
ATT26702,EMP2970,2024-05-06,21:49:47,01:08:15,7.1,0.3,None
ATT23383,EMP9782,2024-03-22,07:33:38,20:24:51,8.1,0.4,Vacation
ATT85406,EMP1528,2023-10-10,03:37:31,04:30:52,4.2,2.4,Vacation
ATT84285,EMP5424,2025-02-28,06:27:39,08:46:37,8.4,2.5,None
ATT11651,EMP8724,2024-11-01,08:42:58,00:09:34,5.7,1.0,Sick Leave
ATT61157,EMP6373,2023-11-14,13:39:47,06:59:20,6.9,0.5,Vacation
ATT79405,EMP4590,2023-12-14,13:00:42,13:20:05,6.3,1.1,None
ATT25461,EMP1346,2024-07-30,15:58:07,11:01:42,5.8,2.8,Vacation
ATT58219,EMP5135,2023-01-04,02:10:55,04:12:29,5.8,0.5,Sick Leave
ATT93945,EMP8671,2025-04-26,19:07:36,17:37:13,9.9,1.2,None
ATT17409,EMP7152,2025-11-22,03:53:29,02:06:32,8.4,0.7,Vacation
ATT97548,EMP1758,2025-03-14,05:22:42,03:30:23,5.2,1.2,Sick Leave
ATT56339,EMP6962,2025-02-26,21:50:08,21:58:02,6.1,2.7,None
ATT12402,EMP1322,2023-01-22,02:40:01,07:41:39,4.7,1.6,Sick Leave
ATT47844,EMP9579,2024-09-28,01:10:03,09:49:06,7.7,0.6,Vacation
ATT52768,EMP1780,2024-04-09,03:41:23,11:36:43,6.8,0.4,Sick Leave
ATT19594,EMP3236,2023-05-23,00:08:10,07:19:19,6.7,1.4,Sick Leave
ATT12933,EMP2419,2024-04-14,09:23:19,03:04:55,9.0,0.9,None
ATT10411,EMP2032,2023-07-21,00:48:20,21:42:23,9.7,2.4,Vacation
ATT32676,EMP4071,2024-01-29,11:16:07,00:25:54,5.7,1.1,Vacation
ATT93488,EMP8111,2024-10-18,21:40:45,16:16:38,7.9,1.3,Sick Leave
ATT77413,EMP2837,2023-09-02,12:20:00,04:39:14,7.0,0.4,Vacation
ATT95340,EMP3064,2023-02-09,04:49:40,12:39:20,9.1,1.9,Sick Leave
ATT56691,EMP1441,2024-02-28,05:08:07,06:56:44,4.3,2.2,Sick Leave
ATT28493,EMP4430,2024-10-17,23:44:10,21:57:58,9.7,0.6,Sick Leave
ATT49057,EMP7987,2023-01-06,08:37:12,02:20:08,6.9,0.5,Vacation
ATT38445,EMP5630,2024-06-28,04:04:56,02:46:24,6.2,2.7,Vacation
ATT63308,EMP7598,2024-10-24,14:43:39,11:19:36,9.5,0.7,Sick Leave
ATT6661,EMP3166,2024-11-12,04:25:41,16:35:24,6.0,1.6,None
ATT46916,EMP8734,2024-03-28,01:48:47,08:24:06,9.6,0.3,Vacation
ATT62431,EMP9768,2023-10-13,17:58:18,03:01:29,9.9,0.9,Sick Leave
ATT46890,EMP4742,2023-10-08,10:00:35,04:45:30,4.1,2.6,Vacation
ATT99236,EMP4311,2024-12-14,19:48:11,10:22:13,7.6,2.2,Vacation
ATT26617,EMP8037,2023-03-11,02:38:10,03:30:56,8.8,2.8,Vacation
ATT52297,EMP4728,2024-12-04,00:47:34,06:23:38,5.6,2.0,Vacation
ATT8347,EMP9093,2025-12-06,10:05:42,15:52:41,5.6,0.2,Sick Leave
ATT30689,EMP4577,2025-04-30,06:30:36,21:20:44,8.9,0.4,Vacation
