Payroll_ID,Employee_ID,Basic_Salary,Bonuses,Deductions,Net_Salary,Payment_Date
PAY65602,EMP3401,121444.9,2434.9,3799.01,87591.56,2023-06-05
PAY51168,EMP6822,86239.54,3914.85,4099.63,48668.97,2025-03-28
PAY27146,EMP3631,41739.25,9270.67,1074.38,129890.48,2024-02-28
PAY26164,EMP5759,31960.64,9199.67,4566.08,73526.05,2024-04-12
PAY8981,EMP3558,143680.07,4109.69,1949.24,91659.43,2025-05-12
PAY63880,EMP2933,90970.46,2788.37,3452.89,110257.48,2023-12-12
PAY61568,EMP9191,60361.08,1139.69,1753.27,85169.25,2023-12-30
PAY4425,EMP8625,52567.92,9476.32,1035.19,136620.94,2024-05-19
PAY22581,EMP5092,95543.19,7903.31,1277.94,77864.6,2024-04-25
PAY2564,EMP2970,37137.69,2131.66,1770.19,92166.82,2024-08-12
PAY11877,EMP9782,100668.47,1196.04,722.23,92138.3,2024-01-29
PAY6548,EMP1528,63885.89,7264.26,1437.19,58654.42,2023-05-23
PAY79239,EMP5424,107495.65,7876.77,2793.95,120092.35,2025-10-29
PAY69299,EMP8724,95693.18,5495.46,1549.77,104636.66,2023-04-09
PAY68925,EMP6373,134247.87,1462.83,4757.02,95409.4,2025-07-28
PAY53480,EMP4590,82606.0,7029.72,3685.47,115242.0,2025-05-30
PAY50388,EMP1346,60696.82,8535.38,2303.88,39476.87,2023-01-18
PAY35673,EMP5135,119178.11,6597.98,3171.93,119905.46,2024-08-21
PAY60826,EMP8671,141240.93,2575.1,4519.22,101915.63,2024-09-21
PAY51667,EMP7152,117343.1,3924.95,3713.13,93543.2,2023-01-15
PAY34792,EMP1758,46206.86,2334.39,2482.49,52735.56,2025-10-01
PAY89548,EMP6962,139839.9,5491.63,688.49,138609.17,2025-08-28
PAY5849,EMP1322,62780.66,5102.32,2317.7,27693.79,2025-10-27
PAY12607,EMP9579,85225.9,5036.46,699.36,83429.67,2024-06-27
PAY96888,EMP1780,143313.87,2274.32,1075.36,32655.24,2023-08-14
PAY76542,EMP3236,111452.51,5039.18,4960.22,33902.62,2025-06-07
PAY1759,EMP2419,63358.22,9935.77,1353.1,59063.18,2024-04-06
PAY49107,EMP2032,89763.49,6164.17,3405.77,76242.48,2024-08-07
PAY43453,EMP4071,125589.68,6588.72,1101.32,113941.09,2024-06-25
PAY69752,EMP8111,99057.34,2750.16,4609.38,39859.81,2025-08-04
PAY7981,EMP2837,97869.66,5535.09,4705.48,71409.36,2025-07-24
PAY50927,EMP3064,73188.17,4696.13,1651.04,31056.45,2025-09-02
PAY79418,EMP1441,66545.82,5729.77,4625.77,118680.67,2024-03-09
PAY28966,EMP4430,64325.99,5486.76,1735.16,98583.38,2025-09-27
PAY11582,EMP7987,82751.36,5955.52,2018.72,77437.03,2025-11-15
PAY70131,EMP5630,78266.56,7220.78,4232.02,79292.87,2023-10-20
PAY99393,EMP7598,103763.17,3677.94,3496.79,104232.89,2024-10-18
PAY78054,EMP3166,103241.63,4479.75,2027.98,103967.09,2024-01-21
PAY95603,EMP8734,60122.96,9207.03,4331.62,111430.9,2025-07-14
PAY58734,EMP9768,85245.82,7426.49,2293.89,48892.44,2025-04-28
PAY81939,EMP4742,142706.84,1796.12,1255.97,125681.26,2024-08-04
PAY81208,EMP4311,33139.6,1745.77,1832.17,35271.7,2025-06-30
PAY14636,EMP8037,114726.5,8100.13,4738.92,113594.84,2023-10-03
PAY38726,EMP4728,127405.77,6748.65,3497.21,47085.87,2024-06-16
PAY83092,EMP9093,116221.4,9675.29,2641.35,34466.21,2023-11-09
PAY69323,EMP4577,142819.17,2402.88,779.24,134179.46,2025-12-28
PAY27785,EMP1222,100083.24,9307.71,3097.78,132215.1,2023-05-03
PAY20184,EMP5790,143377.99,2335.0,2387.97,125516.64,2025-06-19
PAY47989,EMP1367,63182.19,4846.01,1729.54,59859.82,2023-07-11
PAY86953,EMP7318,71499.79,2313.8,1292.1,136128.71,2024-09-02
PAY40684,EMP6190,116752.35,9891.71,3009.07,41429.16,2024-06-21
PAY16944,EMP2033,49440.44,2360.97,870.95,71274.67,2025-05-11
PAY43122,EMP5387,117614.85,6108.32,3194.95,68052.97,2025-06-24
PAY61154,EMP9916,63394.89,5552.78,4859.7,133110.69,2025-04-20
PAY90168,EMP4739,66347.21,3109.92,1912.24,137303.35,2024-03-16
PAY42368,EMP6349,80083.5,7194.74,2922.42,134010.62,2024-08-27
PAY62446,EMP4639,32147.59,4465.07,2489.17,118378.72,2023-11-15
PAY39867,EMP7038,91342.12,8380.79,3365.44,73935.68,2024-06-21
PAY99514,EMP5421,104385.74,1198.9,865.19,28377.05,2023-06-25
PAY55548,EMP2568,146439.66,3556.97,4656.44,124751.76,2024-04-12
PAY35302,EMP6122,98393.58,4532.69,2806.87,57967.35,2024-06-02
PAY37441,EMP1580,74832.87,5023.61,3964.7,63980.18,2024-07-22
PAY90022,EMP2486,145081.06,6917.71,1554.58,79885.71,2024-11-11
PAY26948,EMP6990,72512.45,4808.67,3749.41,120571.87,2023-11-30
PAY56432,EMP3323,137611.81,3689.16,3793.04,100489.45,2024-10-03
PAY81034,EMP1583,108152.45,2409.29,535.79,97794.37,2023-07-23
PAY56015,EMP2994,53384.09,4494.29,1284.17,119483.13,2024-02-23
PAY95554,EMP3203,122399.62,9890.94,819.35,30305.59,2024-06-21
PAY27222,EMP8091,133710.88,7102.14,4347.46,35533.91,2024-05-13
PAY88774,EMP7671,83944.31,9203.89,2774.81,115994.52,2025-05-07
PAY82369,EMP3396,147420.18,2749.04,1681.71,30672.72,2023-12-12
PAY26229,EMP6628,139125.45,5870.54,4035.26,29351.21,2023-10-12
PAY99501,EMP4480,98758.02,5938.04,2607.37,96828.76,2023-09-15
PAY54913,EMP7329,37713.94,7788.02,3781.95,114143.4,2023-08-15
PAY27871,EMP4670,147277.38,8228.31,4860.07,128582.09,2023-08-27
PAY59131,EMP5600,71655.22,2614.83,4016.93,50214.7,2023-10-05
PAY10096,EMP6523,129673.62,6630.29,2125.26,53163.05,2025-08-19
PAY4041,EMP6837,140804.92,1273.94,2747.78,48646.68,2025-07-17
PAY96498,EMP1480,148420.93,3490.78,1313.93,113021.01,2023-03-06
PAY12480,EMP2492,99365.03,3312.24,2701.12,60585.25,2024-07-14
PAY20882,EMP9465,142716.16,5662.17,3362.4,64979.89,2024-03-05
PAY19886,EMP1746,131809.59,7213.22,4674.87,87566.01,2024-11-16
PAY33865,EMP8845,48911.06,8499.73,2815.53,49439.89,2023-05-07
PAY74659,EMP2842,80741.4,6284.43,4006.29,120122.39,2024-06-20
PAY98072,EMP2231,100914.02,2771.8,4041.09,81038.45,2024-02-09
PAY80255,EMP4375,61605.71,8460.85,1845.77,123514.84,2023-06-09
PAY36914,EMP1476,85511.23,9860.71,2954.66,28667.52,2023-05-11
PAY20158,EMP3959,135860.66,8865.8,3708.07,92696.69,2025-05-15
PAY21091,EMP1648,53859.36,6056.88,4718.24,45458.9,2025-01-15
PAY96514,EMP7288,75418.43,2218.27,3992.2,60830.57,2024-05-09
PAY4972,EMP9255,42667.41,2943.6,3028.02,67999.42,2025-04-11
PAY54268,EMP2564,105405.97,7769.42,3931.89,117931.73,2023-08-12
PAY64576,EMP1331,34223.36,6304.15,2328.41,72342.83,2024-06-15
PAY10298,EMP9519,69390.64,3043.66,2763.81,102047.29,2024-09-04
PAY28811,EMP1926,121017.48,2182.79,2429.03,65143.98,2025-02-02
PAY58834,EMP7042,87085.46,6751.37,2794.77,47128.85,2023-01-24
PAY64202,EMP3703,73379.68,9727.43,2579.06,86374.52,2023-08-18
PAY72006,EMP8446,123810.28,2583.86,1958.56,75897.44,2023-12-23
PAY2103,EMP8998,73760.03,5075.75,1936.68,58439.16,2025-01-24
PAY36440,EMP8393,84439.96,3633.24,3630.57,73885.81,2024-11-25
PAY34065,EMP5761,91191.89,4044.07,1829.22,136389.75,2023-02-14
PAY28449,EMP1617,78306.65,4091.47,3688.92,30834.01,2025-06-08
PAY44077,EMP6444,65970.25,6751.94,1353.07,125841.82,2024-08-04
